,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
25698,25698,1671756900,1.05968,1.05974,1.05962,1.05968,1777,22,266550000,1.06039,1.05933,1.05933,1.06039,58.3554,72.18479,0.0001439,0.0001463,23.19721,17.65414,26.27837,65.53977,0.70483,59.79287,0.0321,53.42957,67.469,0,2,loss
25710,25710,1671760500,1.06003,1.06009,1.05998,1.06004,2392,19,358800000,1.06034,1.05959,1.05959,1.06034,60.94299,82.89693,0.000176,0.0001773,15.95672,10.66557,34.26047,47.90411,0.64443,59.54293,0.03397,42.75576,54.8004,1,2,loss
25715,25715,1671762000,1.06029,1.0603,1.06008,1.06009,2296,13,344400000,1.06033,1.05969,1.05969,1.06033,57.28056,86.92156,0.0001645,0.0001711,20.88076,10.06337,38.12039,53.29694,0.60089,53.24662,0.0151,43.24288,46.70361,0,2,loss
25750,25750,1671772500,1.06076,1.06088,1.06072,1.06073,2627,13,394050000,1.06029,1.06019,1.06019,1.06029,55.70136,38.86398,0.0002708,0.0002848,17.91009,11.53067,44.61299,57.43683,0.55563,58.9945,0.03395,13.1203,17.67194,1,2,loss
25782,25782,1671782100,1.06067,1.0607,1.06023,1.06031,2754,5,413100000,1.06039,1.0605,1.0605,1.06039,42.66741,-87.85777,-2.89e-05,-2.13e-05,10.42429,16.85079,24.59003,45.6564,0.14962,45.46185,-0.01886,38.67585,56.15441,1,2,loss
25809,25809,1671790200,1.06178,1.06187,1.06127,1.06151,2829,5,424350000,1.06061,1.06115,1.06115,1.06061,50.3874,-2.19604,0.0003671,0.0003698,21.04968,25.96902,29.10417,70.83128,0.47974,54.35375,-0.00094,22.47949,55.81283,1,2,win
25850,25850,1671802500,1.06164,1.0618,1.06141,1.06143,2642,5,396300000,1.06079,1.06131,1.06131,1.06079,48.55096,-46.2119,0.0002149,0.0002504,21.13758,21.0173,28.3845,64.61714,0.40469,50.82296,-0.01225,24.86185,49.11958,1,2,loss
25873,25873,1671809400,1.06125,1.06219,1.05941,1.06047,2954,5,443100000,1.06091,1.06135,1.06135,1.06091,38.33391,-118.95408,-1.01e-05,4.49e-05,11.41285,26.21655,21.3293,30.90707,0.07945,46.22593,-0.03959,30.43049,47.13332,1,2,loss
25878,25878,1671810900,1.06119,1.06119,1.0604,1.06076,2959,5,443850000,1.06095,1.06141,1.06141,1.06095,44.01033,-93.36966,5.1e-06,6.53e-05,8.98061,24.65414,26.54826,35.74604,0.22249,42.29692,-0.11958,33.36871,51.11874,0,2,loss
25903,25903,1671818400,1.06131,1.06151,1.06089,1.06118,2943,5,441450000,1.061,1.06131,1.06131,1.061,48.16591,-4.09703,9.31e-05,0.0001212,15.22755,21.56576,27.36416,64.27813,0.49153,51.31291,0.0,14.51967,24.19352,0,2,loss
25923,25923,1671824400,1.06255,1.06265,1.062,1.06209,2820,5,423000000,1.06121,1.06179,1.06179,1.06121,51.19888,35.28319,0.000201,0.0002181,17.73351,15.41895,15.32785,64.46909,0.46074,57.99992,-0.00753,59.53912,72.24838,1,2,win
25958,25958,1671834900,1.06143,1.06148,1.06124,1.06131,2448,19,367200000,1.0613,1.06159,1.06159,1.0613,42.47412,-37.23117,-8.2e-06,6.5e-06,14.96978,23.26468,27.87174,51.24569,0.36748,50.99782,-0.00942,6.29231,25.58844,1,2,loss
25968,25968,1671837900,1.06161,1.06161,1.06138,1.06138,2276,19,341400000,1.06133,1.06159,1.06159,1.06133,44.87542,-71.38305,-5e-07,9.3e-06,13.97024,18.86841,21.66013,44.27548,0.28368,52.43365,-0.00565,35.42129,50.80799,1,2,loss
25989,25989,1672038600,1.06276,1.06279,1.06269,1.06275,472,13,70800000,1.06153,1.06208,1.06208,1.06153,65.08215,48.69107,0.0002879,0.0002896,14.62869,8.53009,43.53373,59.11245,0.62917,60.20731,0.00565,30.93063,55.30096,0,2,loss
26069,26069,1672062600,1.06236,1.06241,1.06231,1.06231,1381,29,207150000,1.062,1.0623,1.0623,1.062,50.18694,16.76703,4.55e-05,4.76e-05,6.27874,8.09059,16.60155,59.40719,0.48931,47.58516,-0.00282,30.45885,49.17316,0,2,loss
26076,26076,1672064700,1.06231,1.06259,1.06225,1.06231,234,15,35100000,1.06203,1.06233,1.06233,1.06203,48.11379,-31.55443,4.53e-05,4.99e-05,12.08098,12.47657,19.24083,51.63639,0.36468,60.43204,-0.00847,33.33333,59.36174,1,2,loss
26095,26095,1672070400,1.06268,1.06277,1.06261,1.06271,339,29,50850000,1.06213,1.0625,1.0625,1.06213,52.92478,24.40515,0.0001255,0.0001299,23.34195,25.91713,17.26966,54.0149,0.5847,66.08167,0.03389,42.3175,53.87222,0,2,loss
26128,26128,1672080300,1.06236,1.06236,1.06236,1.06236,399,87,59850000,1.06222,1.06245,1.06245,1.06222,47.2612,-27.01169,-2.83e-05,-2.7e-05,12.12374,13.79148,31.14115,48.12367,0.4612,59.68737,-0.00188,7.92501,13.92266,1,2,loss
26146,26146,1672085700,1.06275,1.06275,1.06269,1.0627,1709,55,256350000,1.0623,1.06259,1.06259,1.0623,52.93491,32.93502,6.85e-05,7.26e-05,12.76293,20.90939,22.70642,51.92039,0.54062,54.4323,-0.00094,19.73854,24.20524,0,2,loss
26185,26185,1672097400,1.063,1.06329,1.06293,1.06299,456,51,68400000,1.06247,1.06281,1.06281,1.06247,54.19151,52.03443,9.9e-05,0.0001008,25.49081,14.63637,21.21999,74.55188,0.56713,65.9713,0.00659,4.51326,15.47334,1,2,loss
26201,26201,1672102200,1.06351,1.06353,1.06349,1.06353,1865,18,279750000,1.06261,1.06311,1.06311,1.06261,67.57733,63.67718,0.0001613,0.0001634,14.4263,9.77373,23.71044,67.57304,0.70383,68.84094,0.01411,68.0467,73.0186,0,2,loss
26215,26215,1672106400,1.06392,1.06404,1.06338,1.06354,2718,15,407700000,1.06277,1.06343,1.06343,1.06277,46.66761,-21.0325,0.0001857,0.0002149,15.9681,25.15889,26.80924,49.60032,0.3646,51.91787,0.03762,31.65034,50.08276,1,2,loss
26234,26234,1672112100,1.06437,1.06445,1.06424,1.06425,2642,15,396300000,1.06303,1.0639,1.0639,1.06303,51.14115,18.30869,0.000216,0.0002218,18.33452,22.27711,18.18513,56.72433,0.51814,48.30725,0.04888,39.00434,55.0305,0,2,loss
26243,26243,1672114800,1.06472,1.06493,1.06441,1.06453,2572,13,385800000,1.0632,1.06423,1.06423,1.0632,49.26302,-11.59008,0.0002579,0.0002868,25.05929,27.12974,22.99364,50.5507,0.42603,53.02122,-0.0047,10.19196,43.07402,1,2,loss
26302,26302,1672132500,1.06567,1.0664,1.06538,1.06614,2800,5,420000000,1.06397,1.06518,1.06518,1.06397,59.27838,38.16883,0.0003733,0.0003831,21.47428,15.9186,47.87926,64.068,0.6224,63.27089,0.0704,39.03912,57.21013,1,2,win
26350,26350,1672146900,1.06619,1.06632,1.06608,1.06628,2558,5,383700000,1.0646,1.0657,1.0657,1.0646,55.93185,36.06748,0.0002587,0.0002639,15.58912,16.63524,19.83218,50.36414,0.59132,52.87786,0.05255,31.84081,54.05878,1,2,loss
26353,26353,1672147800,1.06655,1.06663,1.06609,1.0661,2684,5,402600000,1.06465,1.06578,1.06578,1.06465,50.70741,16.22357,0.0002374,0.0002628,19.19979,21.94004,19.81112,49.9228,0.44619,48.04167,-0.03282,47.35782,47.59429,1,2,win
26384,26384,1672157100,1.06235,1.06257,1.06188,1.06189,2573,5,385950000,1.06444,1.06422,1.06422,1.06444,25.79457,-117.80299,-0.0006728,-0.0006391,14.64064,39.50577,43.02656,35.92276,0.24087,31.03942,-0.04612,57.6885,67.37314,1,2,loss
26418,26418,1672167300,1.06558,1.06572,1.0652,1.06521,2877,5,431550000,1.06436,1.06441,1.06441,1.06436,58.4281,104.17283,0.000458,0.0004641,21.02744,13.4665,26.41045,57.19054,0.53105,50.07883,0.02723,62.92387,69.67703,0,2,win
26449,26449,1672176600,1.06437,1.06439,1.06418,1.06432,2725,13,408750000,1.06435,1.06439,1.06439,1.06435,47.17216,-14.08177,9.27e-05,0.0001116,12.47059,31.97034,33.09725,49.96944,0.46758,43.24464,0.00752,11.35564,22.47989,1,2,win
26471,26471,1672183200,1.06405,1.06405,1.06391,1.06393,2014,19,302100000,1.06429,1.06419,1.06419,1.06429,43.61935,-65.32118,-8.13e-05,-8.08e-05,9.82645,17.24737,16.69294,49.41155,0.37822,53.79762,-0.00564,53.72776,53.74667,1,2,win
26475,26475,1672184400,1.06394,1.06396,1.06373,1.06382,2119,19,317850000,1.06427,1.06415,1.06415,1.06427,40.6198,-153.13225,-8.88e-05,-8.17e-05,5.54377,27.10668,30.97913,54.85926,0.26499,46.17197,-0.03289,26.14807,38.34791,1,2,win
26491,26491,1672189200,1.06403,1.06406,1.0637,1.06373,2141,19,321150000,1.06423,1.06406,1.06406,1.06423,39.33384,-81.32323,-2.93e-05,-2.78e-05,24.72008,34.88278,24.39472,53.21577,0.12747,49.52788,-0.00658,45.97861,62.7739,0,2,win
26506,26506,1672193700,1.06369,1.06372,1.06334,1.06344,2470,13,370500000,1.06415,1.06388,1.06388,1.06415,40.59141,-109.69163,-8.09e-05,-7.55e-05,14.18144,26.97781,20.26973,41.87447,0.16299,39.01683,-0.02726,59.73223,72.23026,0,2,loss
26537,26537,1672203000,1.06385,1.06385,1.06349,1.06352,2491,13,373650000,1.06397,1.06367,1.06367,1.06397,46.15937,-77.42037,7.87e-05,0.0001011,16.0021,20.30055,23.76971,57.11172,0.35624,51.307,-0.04793,25.08297,29.01935,1,2,loss
26545,26545,1672205400,1.06385,1.06387,1.06345,1.06346,2744,13,411600000,1.06396,1.06372,1.06372,1.06396,43.56131,-149.14915,5.57e-05,8.56e-05,17.86163,27.67446,17.96381,49.73527,0.21086,50.78771,-0.0188,49.09189,70.66126,1,2,loss
26555,26555,1672208400,1.0638,1.06383,1.06374,1.06376,2487,13,373050000,1.06395,1.06374,1.06374,1.06395,49.53187,-5.69444,3.64e-05,3.76e-05,20.88128,19.72096,17.89465,56.20396,0.44972,51.20675,-0.03101,54.92517,72.445,0,2,loss
26558,26558,1672209300,1.0638,1.06382,1.06355,1.06359,2527,13,379050000,1.06394,1.06375,1.06375,1.06394,45.23593,-65.70769,1.9e-05,3.6e-05,21.72167,22.71416,17.22501,56.10043,0.17975,46.9804,0.0047,46.67446,53.51575,0,2,loss
26584,26584,1672217100,1.06471,1.06484,1.06451,1.0646,2562,5,384300000,1.06408,1.06428,1.06428,1.06408,53.19668,21.17184,0.0001917,0.0002112,13.3442,20.21902,19.61658,42.54682,0.49358,54.72651,0.01503,13.86866,30.3779,1,2,loss
26595,26595,1672220400,1.06498,1.0652,1.06479,1.06479,2650,5,397500000,1.06416,1.06449,1.06449,1.06416,52.05609,34.231,0.0001547,0.0001665,14.21106,12.00427,16.96401,42.99655,0.46541,42.46479,0.00751,38.35277,52.18492,0,2,win
26634,26634,1672232100,1.06325,1.06335,1.06287,1.06332,2741,5,411150000,1.06402,1.06384,1.06384,1.06402,41.45644,-122.61721,-0.0001012,-9.29e-05,18.53901,32.6697,19.19962,50.00062,0.32208,43.67667,-0.03197,13.24922,31.54419,1,2,loss
26649,26649,1672236600,1.06407,1.06421,1.06381,1.06384,2737,5,410550000,1.06405,1.06402,1.06402,1.06405,45.8941,-19.33347,0.0001254,0.000137,18.03402,26.04298,18.26154,57.57962,0.36918,44.52125,-0.04228,28.57693,60.35681,1,2,loss
26660,26660,1672239900,1.06486,1.06488,1.06416,1.06429,2755,5,413250000,1.06412,1.06428,1.06428,1.06412,48.13098,-20.04052,0.0002193,0.0002303,19.89428,18.18284,25.04225,42.62213,0.3865,53.5923,0.02068,24.94406,50.31246,0,2,loss
26684,26684,1672247100,1.06503,1.06506,1.06443,1.0648,2937,5,440550000,1.06427,1.06471,1.06471,1.06427,47.79252,-15.66491,0.0003264,0.0003501,20.8385,26.54218,35.62867,56.54784,0.46375,45.34046,0.01221,16.30497,38.62717,1,2,loss
26729,26729,1672260600,1.06261,1.06269,1.06222,1.06225,2704,5,405600000,1.0637,1.06302,1.06302,1.0637,41.74048,-91.96463,-9.9e-06,1e-05,15.27665,25.18863,31.97919,57.72869,0.23392,46.89561,-0.02635,27.91151,43.73838,1,2,win
26794,26794,1672280100,1.06245,1.0625,1.0623,1.06233,2536,13,380400000,1.06273,1.06193,1.06193,1.06273,58.6974,30.30634,0.0003075,0.0003319,21.60225,16.31574,56.17255,62.58017,0.54464,64.59085,0.00282,0.86749,18.77249,1,2,loss
26807,26807,1672284000,1.063,1.063,1.06275,1.06281,2665,13,399750000,1.06273,1.06226,1.06226,1.06273,56.92835,56.60618,0.0002549,0.0002593,22.88529,20.3183,31.74608,49.45949,0.57877,54.85596,0.0207,27.75198,30.09034,0,2,win
26810,26810,1672284900,1.06312,1.06326,1.06276,1.06281,2681,13,402150000,1.06273,1.06234,1.06234,1.06273,54.56689,61.79872,0.0002357,0.0002538,21.31285,16.42646,26.92862,56.69606,0.58776,56.51709,0.04424,20.19005,21.48212,0,2,win
26860,26860,1672299900,1.06232,1.06246,1.06212,1.06219,2637,5,395550000,1.0626,1.06234,1.06234,1.0626,45.09643,-0.83577,5.7e-06,6.1e-06,14.71876,24.23725,23.47575,42.49962,0.43337,49.1617,0.01318,31.32087,38.25819,1,2,loss
26866,26866,1672301700,1.06233,1.06241,1.06218,1.0622,2636,5,395400000,1.06258,1.06233,1.06233,1.06258,45.03184,-39.90555,0.0,6.2e-06,14.87656,17.12983,16.01813,36.15864,0.34143,46.74248,-0.02824,24.99634,36.43264,0,2,loss
26904,26904,1672313100,1.06391,1.06415,1.0635,1.06358,2816,5,422400000,1.06259,1.06276,1.06276,1.06259,56.43251,56.77233,0.0004128,0.0004218,23.12874,15.74382,29.10065,57.35976,0.55628,57.79202,-0.01974,21.88157,24.88938,0,2,loss
26914,26914,1672316100,1.0647,1.06474,1.0644,1.06461,2746,5,411900000,1.06281,1.06346,1.06346,1.06281,57.84013,37.87639,0.00056,0.0005822,21.69339,20.47772,32.93869,42.76003,0.60004,59.6048,0.08367,19.59646,36.39498,0,2,win
26961,26961,1672330200,1.06567,1.06579,1.065,1.06501,2890,5,433500000,1.06341,1.06452,1.06452,1.06341,50.59495,17.39021,0.0003781,0.0004005,18.18462,16.58741,35.00669,43.00963,0.45168,51.5645,0.02254,23.40976,30.74405,1,2,loss
26970,26970,1672332900,1.0661,1.06611,1.06384,1.06441,2958,5,443700000,1.06361,1.06489,1.06489,1.06361,40.90657,-114.05912,0.000278,0.0003683,23.73565,24.45755,31.23168,42.92219,0.12904,55.15105,-0.09667,31.36394,47.65542,1,2,loss
26987,26987,1672338000,1.06597,1.06654,1.06588,1.06596,2908,5,436200000,1.06394,1.06534,1.06534,1.06394,52.98814,48.70699,0.0002355,0.0002386,18.68138,14.99279,28.9059,57.31866,0.60288,53.96535,0.05632,43.64895,59.09488,0,2,loss
26997,26997,1672341000,1.06681,1.06693,1.0664,1.06644,2754,5,413100000,1.0642,1.06577,1.06577,1.0642,53.29806,47.54466,0.0002952,0.0003063,12.52817,9.25742,29.5707,57.23285,0.52347,59.19066,0.04785,40.09187,48.38672,1,2,loss
26999,26999,1672341600,1.06696,1.06702,1.06647,1.06654,2808,5,421200000,1.06425,1.06584,1.06584,1.06425,53.38365,56.6519,0.0002813,0.0003015,11.3044,6.95335,28.14221,64.53807,0.53806,57.53312,0.05441,25.62088,37.21839,1,2,loss
27012,27012,1672345500,1.06762,1.0678,1.06751,1.06765,2833,5,424950000,1.06464,1.06653,1.06653,1.06464,59.61234,61.02004,0.0004025,0.0004081,20.505,13.32849,26.86093,50.0408,0.6717,54.70453,0.07593,41.63996,42.81864,0,2,win
