,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
54266,54266,1683812400,1.09214,1.09237,1.09197,1.09233,2165,5,324750000,1.09578,1.09336,1.09336,1.09578,44.02341,-79.7431,-0.0003106,-0.0003216,14.67559,19.50007,23.8743,56.56672,0.3613,51.2481,-0.0302,40.18531,22.25093,1,1,win
54312,54312,1683826200,1.09082,1.09131,1.09071,1.09116,2812,6,421800000,1.09445,1.09206,1.09206,1.09445,45.31887,-19.02416,-0.0005374,-0.0005898,20.902,19.52296,43.26435,42.80579,0.48261,44.1337,-0.05221,97.20545,87.51897,0,1,win
54328,54328,1683831000,1.09093,1.09153,1.09093,1.09153,2383,6,357450000,1.094,1.09175,1.09175,1.094,51.8925,3.21527,-0.0001131,-0.0001323,20.31378,12.74831,20.91908,57.62011,0.59928,57.58935,-0.02015,28.05548,13.39705,1,1,win
54361,54361,1683840900,1.09152,1.0916,1.09145,1.0915,1864,6,279600000,1.09339,1.09173,1.09173,1.09339,46.36117,-10.86484,-0.0001318,-0.0001413,19.25358,9.91866,35.64089,49.91025,0.48102,52.23085,-0.01282,96.299,91.52226,0,1,win
54391,54391,1683849900,1.09145,1.09172,1.09145,1.09163,286,22,42900000,1.09294,1.09164,1.09164,1.09294,53.19394,14.05384,-4.4e-05,-5.02e-05,30.50978,24.90973,14.98886,28.08988,0.59023,43.23889,0.01283,50.10404,54.22033,0,1,win
54402,54402,1683853200,1.09162,1.09162,1.09138,1.09159,382,19,57300000,1.09279,1.09161,1.09161,1.09279,52.57165,7.52233,-2.38e-05,-2.87e-05,21.37593,17.15566,15.44454,44.23946,0.64167,43.4668,0.01283,36.60143,31.28359,1,1,win
54412,54412,1683856200,1.09155,1.0916,1.09153,1.09159,509,19,76350000,1.09268,1.09159,1.09159,1.09268,52.38223,20.53172,-1.12e-05,-1.18e-05,22.31192,21.0489,21.18988,45.69952,0.62365,54.16829,0.01099,40.29397,23.30935,1,1,win
54417,54417,1683857700,1.09155,1.09166,1.09155,1.09165,327,19,49050000,1.09262,1.09158,1.09158,1.09262,55.97864,82.74102,-5.7e-06,-1.32e-05,33.35324,17.23537,18.7929,43.69002,0.81903,54.97554,0.00092,49.81466,32.9774,1,1,win
54428,54428,1683861000,1.09141,1.09167,1.09141,1.09166,711,13,106650000,1.09249,1.0915,1.0915,1.09249,57.70638,81.05148,-3.71e-05,-5.48e-05,28.87372,20.9959,16.32348,60.62572,0.82373,55.83073,0.01008,83.18493,59.67802,0,1,win
54444,54444,1683865800,1.0917,1.092,1.09164,1.09198,1982,13,297300000,1.09239,1.09166,1.09166,1.09239,59.71977,62.66226,9.88e-05,9.66e-05,20.35543,19.00729,17.7124,40.55175,0.71268,47.53369,0.01191,18.04951,13.74064,1,1,win
